                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6091,                 4.4149,                 1.8695,                0.71633,                0.44719,                0.56087,                0.27113,                 1.9229,                 5.7618,                 2.2105,              0.0008416,              0.0008416,              0.0008416
                     35,                 1.6122,                 4.3608,                 1.8608,                0.76969,                 0.4743,                0.61923,                0.31065,                 1.7912,                  5.372,                 2.0962,             0.00083665,             0.00083665,             0.00083665
                     36,                 1.5946,                 4.3312,                 1.8331,                0.83403,                0.48217,                0.61642,                0.29955,                 1.8391,                 5.5203,                  2.109,              0.0008317,              0.0008317,              0.0008317
                     37,                 1.6158,                 4.4253,                 1.8468,                0.70572,                 0.4165,                0.48195,                0.23114,                 1.9061,                 6.6463,                 2.1943,             0.00082675,             0.00082675,             0.00082675
                     38,                 1.5847,                 4.1959,                 1.8157,                0.79083,                0.47107,                0.58745,                0.28634,                 1.8489,                 5.4022,                 2.1501,              0.0008218,              0.0008218,              0.0008218
                     39,                 1.6085,                 4.3072,                 1.8305,                0.74551,                0.42924,                0.54501,                0.26703,                 1.9455,                 5.6942,                 2.2415,             0.00081685,             0.00081685,             0.00081685
                     40,                 1.5588,                 4.1719,                 1.8116,                0.76035,                0.48834,                0.58463,                 0.2982,                 1.8209,                  5.702,                 2.0966,              0.0008119,              0.0008119,              0.0008119
                     41,                 1.5559,                 4.1093,                 1.8078,                0.73334,                0.50896,                0.57525,                0.28723,                  1.907,                 6.2123,                 2.1813,             0.00080695,             0.00080695,             0.00080695
                     42,                 1.5644,                 4.2322,                 1.8212,                0.76131,                0.47389,                 0.5711,                0.28861,                 1.8689,                 5.7475,                 2.1536,               0.000802,               0.000802,               0.000802
                     43,                  1.545,                 4.2023,                 1.7947,                0.70992,                0.51868,                0.57411,                0.28862,                 1.8396,                 5.8798,                 2.1351,             0.00079705,             0.00079705,             0.00079705
                     44,                 1.5222,                 4.0303,                 1.7736,                0.83333,                0.47412,                 0.5778,                0.29358,                 1.8041,                 5.5657,                 2.1308,              0.0007921,              0.0007921,              0.0007921
                     45,                 1.5434,                 4.1339,                 1.7954,                0.82522,                0.48897,                  0.577,                0.28467,                  1.851,                 5.7303,                 2.1102,             0.00078715,             0.00078715,             0.00078715
                     46,                 1.5369,                 4.1493,                 1.7895,                0.66205,                0.50985,                0.55929,                0.25337,                 1.9449,                 5.7358,                 2.2005,              0.0007822,              0.0007822,              0.0007822
                     47,                 1.5455,                 4.0389,                 1.8009,                0.83652,                  0.481,                 0.5874,                0.29109,                 1.8336,                 5.7643,                 2.1397,             0.00077725,             0.00077725,             0.00077725
                     48,                 1.5335,                 3.9768,                 1.7857,                0.73478,                0.48597,                0.59373,                0.29774,                 1.8837,                 5.1561,                 2.1582,              0.0007723,              0.0007723,              0.0007723
