                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.474,                 4.2441,                 4.0553,                0.00391,                0.35856,                 0.0141,                0.00407,                 3.5552,                 3.8894,                 4.0686,             0.00032963,             0.00032963,             0.00032963
                      2,                 2.9152,                 3.6871,                 3.4982,                0.06744,                0.16449,                0.02958,                0.00756,                 2.9892,                 4.1808,                 3.3501,              0.0006564,              0.0006564,              0.0006564
                      3,                 2.6479,                 3.3053,                 3.0629,                0.04486,                0.21101,                0.02598,                0.00727,                 2.9019,                 4.8499,                 3.1885,             0.00097657,             0.00097657,             0.00097657
                      4,                 2.3994,                   3.04,                 2.8363,                0.11473,                0.30933,                0.09008,                0.02987,                 2.5531,                 5.0975,                 3.0415,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.2349,                 2.8459,                 2.6737,                 0.5787,                0.05965,                0.07058,                0.02233,                 2.7527,                 5.0807,                  2.922,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.0883,                 2.6534,                 2.5286,                0.44612,                0.15654,                0.13106,                0.04902,                 2.6151,                 3.6306,                 2.8609,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.0514,                 2.5617,                 2.4679,                0.44237,                0.38383,                0.31466,                0.12392,                  2.138,                 2.4093,                 2.4665,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.9332,                 2.4216,                   2.37,                0.43936,                0.31767,                0.28245,                0.11203,                  2.153,                 2.5384,                 2.4408,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.9073,                 2.3381,                 2.3375,                0.40736,                0.42471,                0.29659,                0.10801,                 2.1966,                 2.4045,                 2.4517,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.8619,                 2.2502,                 2.2827,                 0.4834,                0.39789,                0.38021,                0.15099,                 2.0206,                 2.2775,                 2.3456,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.807,                  2.172,                 2.2262,                0.36549,                0.46777,                0.29259,                0.11024,                 2.1487,                 2.6619,                 2.4464,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.8019,                 2.1845,                 2.2285,                0.42157,                0.49247,                 0.4727,                0.19466,                  1.932,                 2.0386,                 2.2133,               0.000901,               0.000901,               0.000901
                     13,                 1.7166,                 2.0463,                 2.1456,                0.45121,                0.41264,                0.36513,                0.14899,                 2.0244,                  2.237,                  2.306,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.7394,                 2.0381,                 2.1785,                0.56998,                0.39897,                0.42122,                0.17052,                 2.0075,                  2.175,                 2.3074,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.7188,                 2.0246,                 2.1322,                0.54693,                  0.364,                0.44222,                0.17204,                 1.9877,                 2.1923,                  2.285,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.7133,                 1.9982,                 2.1197,                 0.4644,                 0.4837,                0.37767,                0.16808,                 1.9191,                 2.2818,                 2.2576,              0.0008614,              0.0008614,              0.0008614
