                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.6663,                 1.9287,                 2.0875,                0.54398,                0.48794,                0.42047,                0.18013,                 1.8721,                 2.4082,                  2.206,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.6522,                  1.922,                  2.064,                0.57525,                0.34907,                0.41586,                0.18206,                 1.8377,                 2.0789,                 2.1992,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.6587,                  1.918,                  2.066,                0.60599,                 0.4807,                0.49366,                0.21608,                 1.8604,                 2.1947,                 2.1403,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.6367,                 1.8687,                  2.037,                0.58374,                0.47765,                0.50497,                0.22448,                 1.8059,                 1.9988,                 2.1303,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.6122,                 1.8781,                 2.0205,                0.64539,                0.49208,                0.53212,                0.23034,                 1.8314,                 2.1654,                  2.204,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.5952,                 1.8005,                 2.0139,                0.59186,                0.41514,                0.43442,                0.17715,                 1.9365,                 2.1532,                 2.2609,               0.000802,               0.000802,               0.000802
                     23,                 1.6227,                  1.853,                  2.014,                 0.5058,                0.62526,                0.56886,                0.25706,                  1.787,                 1.8037,                 2.1014,              0.0007921,              0.0007921,              0.0007921
                     24,                  1.591,                 1.7812,                 1.9859,                0.43227,                0.60466,                0.51873,                0.23238,                 1.8366,                 1.9005,                 2.1673,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.5727,                 1.7763,                 1.9856,                0.63135,                0.48763,                0.54351,                0.23893,                 1.8455,                 1.8626,                 2.1646,              0.0007723,              0.0007723,              0.0007723
                     26,                  1.579,                 1.7442,                 1.9868,                0.45764,                0.59386,                0.52638,                0.23183,                 1.8318,                 1.9282,                 2.1263,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.5604,                 1.7645,                 1.9786,                0.60483,                0.47373,                0.49516,                0.22636,                  1.787,                  1.934,                 2.0922,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.5492,                 1.7352,                 1.9621,                0.60586,                0.44303,                0.50637,                0.21876,                 1.9048,                 1.8785,                 2.1886,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.5284,                 1.7014,                 1.9359,                0.66355,                0.51441,                0.57378,                0.27425,                 1.7493,                 1.7699,                 2.0472,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.5256,                 1.6854,                 1.9492,                0.44068,                 0.6565,                0.57643,                0.26422,                 1.7303,                 1.7991,                 2.0309,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.5284,                 1.6769,                 1.9337,                 0.6197,                 0.5088,                0.56577,                0.27957,                 1.7595,                 1.6957,                 2.0844,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.5073,                 1.6561,                 1.9066,                0.42307,                0.49338,                0.54129,                0.24362,                 1.7877,                 1.7802,                 2.0988,               0.000703,               0.000703,               0.000703
                     33,                 1.5193,                 1.6958,                   1.93,                0.64009,                0.50117,                 0.5649,                0.25777,                 1.7909,                 1.7782,                 2.0761,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.4893,                  1.654,                 1.8868,                0.50089,                 0.5114,                0.50445,                0.22641,                 1.8459,                 2.0099,                 2.1184,              0.0006832,              0.0006832,              0.0006832
