                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4945,                 1.6753,                 1.8495,                0.63028,                0.51081,                 0.6049,                0.29497,                 1.7424,                 1.6088,                 2.0408,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.5185,                 1.6823,                 1.8712,                0.67193,                0.51686,                0.58907,                0.27973,                 1.7066,                 1.7171,                 2.0234,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.4962,                 1.6428,                 1.8671,                0.68105,                0.56457,                0.61939,                0.29706,                 1.7358,                 1.6196,                 2.0438,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.4816,                  1.631,                 1.8561,                0.50312,                0.63763,                0.59837,                0.28259,                 1.7722,                 1.6944,                 2.0419,               0.000307,               0.000307,               0.000307
                     38,                 1.4583,                 1.5976,                 1.8341,                0.65612,                0.59276,                0.59998,                0.29433,                   1.72,                 1.6512,                 1.9822,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.4761,                 1.6105,                   1.84,                0.51146,                0.65415,                0.61563,                0.28757,                 1.7353,                 1.6446,                 2.0544,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.4724,                 1.6212,                 1.8314,                0.64112,                0.59419,                0.60765,                0.28989,                 1.7203,                 1.6484,                 1.9958,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.5228,                 1.6213,                 1.8728,                0.48116,                0.62116,                 0.6042,                0.27784,                 1.7861,                 1.6794,                 2.1032,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.4832,                 1.5389,                 1.8413,                0.61717,                 0.5543,                0.60961,                0.29878,                  1.692,                 1.5995,                 2.0065,               0.000208,               0.000208,               0.000208
                     43,                  1.471,                 1.5185,                  1.827,                 0.6126,                0.60736,                0.65313,                0.32245,                 1.6695,                 1.5269,                 2.0017,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.4566,                 1.4978,                  1.837,                0.69965,                0.56875,                0.63896,                0.30248,                 1.7216,                 1.5537,                 2.0206,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.4546,                 1.4838,                 1.8187,                0.63409,                0.53475,                0.63161,                0.30688,                  1.674,                 1.5542,                 2.0039,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.4517,                  1.448,                 1.8143,                0.56113,                0.65565,                0.64558,                0.32053,                 1.6817,                 1.5106,                 1.9964,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.4275,                 1.4331,                 1.7943,                0.61843,                0.61658,                0.64859,                0.32168,                 1.6784,                 1.5117,                 1.9912,               0.000109,               0.000109,               0.000109
                     48,                 1.4062,                 1.4115,                   1.78,                0.60898,                0.63781,                0.66459,                0.33408,                 1.6634,                 1.4715,                 1.9673,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.4014,                 1.3859,                 1.7806,                0.58205,                0.64534,                0.65062,                0.31678,                  1.697,                 1.5454,                 2.0079,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.3913,                 1.4204,                  1.766,                0.68846,                0.60678,                0.66727,                0.34171,                 1.6437,                 1.4669,                 1.9659,               4.96e-05,               4.96e-05,               4.96e-05
