epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,930.207,0.70875,1.16661,1.13581,0.73679,0.64584,0.7022,0.36168,1.99397,4.81481,2.47322,0.000109,0.000109,0.000109
182,935.227,0.70429,1.15096,1.1337,0.70526,0.67769,0.70216,0.36326,1.98092,4.60793,2.46303,0.00010405,0.00010405,0.00010405
183,940.22,0.69818,1.12828,1.13053,0.73734,0.63102,0.6837,0.35118,2.01434,4.84882,2.51478,9.91e-05,9.91e-05,9.91e-05
184,945.226,0.68478,1.12391,1.11806,0.70148,0.66631,0.69719,0.35864,2.01054,4.89605,2.51771,9.415e-05,9.415e-05,9.415e-05
185,950.23,0.69035,1.10714,1.12261,0.68033,0.66637,0.69185,0.35871,2.00632,4.76724,2.52922,8.92e-05,8.92e-05,8.92e-05
186,955.254,0.67957,1.09756,1.11794,0.70301,0.66267,0.69553,0.36031,1.99142,4.84148,2.51334,8.425e-05,8.425e-05,8.425e-05
187,960.275,0.67983,1.09305,1.11302,0.74243,0.64609,0.69854,0.3604,1.98531,4.77282,2.49907,7.93e-05,7.93e-05,7.93e-05
188,965.3,0.6787,1.1073,1.11936,0.71991,0.65387,0.6915,0.35629,1.98039,4.75525,2.51678,7.435e-05,7.435e-05,7.435e-05
189,970.327,0.66665,1.07857,1.11215,0.71521,0.65468,0.69557,0.36234,1.97546,4.80074,2.53253,6.94e-05,6.94e-05,6.94e-05
190,975.371,0.66365,1.08528,1.11285,0.71597,0.63948,0.68628,0.35659,2.0088,4.79739,2.55091,6.445e-05,6.445e-05,6.445e-05
191,980.382,0.65321,1.06572,1.10381,0.70152,0.67237,0.69648,0.35775,2.00002,4.75026,2.5437,5.95e-05,5.95e-05,5.95e-05
192,985.386,0.65422,1.05596,1.10343,0.70467,0.66799,0.7014,0.36034,1.98703,4.74788,2.53319,5.455e-05,5.455e-05,5.455e-05
193,990.367,0.6471,1.05774,1.09673,0.72888,0.66258,0.71011,0.3614,1.98612,4.66017,2.53607,4.96e-05,4.96e-05,4.96e-05
194,995.362,0.65628,1.06073,1.10516,0.7217,0.67256,0.70601,0.36296,1.98186,4.6373,2.53467,4.465e-05,4.465e-05,4.465e-05
195,1000.36,0.64268,1.05357,1.09302,0.72462,0.66127,0.7054,0.36081,1.98795,4.79067,2.5434,3.97e-05,3.97e-05,3.97e-05
196,1005.38,0.64855,1.05755,1.1029,0.76604,0.63397,0.70343,0.35785,1.99399,4.82695,2.55759,3.475e-05,3.475e-05,3.475e-05
197,1010.42,0.6416,1.04791,1.09598,0.73955,0.64664,0.70589,0.35936,1.99025,4.74552,2.55494,2.98e-05,2.98e-05,2.98e-05
198,1015.39,0.63972,1.03788,1.09137,0.7292,0.65128,0.70047,0.35989,1.99101,4.77648,2.56139,2.485e-05,2.485e-05,2.485e-05
199,1020.41,0.64003,1.03423,1.09674,0.75646,0.63651,0.70517,0.36188,1.98769,4.82571,2.54582,1.99e-05,1.99e-05,1.99e-05
200,1025.43,0.63218,1.02711,1.09041,0.75425,0.63372,0.70282,0.36094,2.00108,4.85064,2.56277,1.495e-05,1.495e-05,1.495e-05
