epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,223.82,1.39008,3.23278,1.6487,0.63682,0.50589,0.58096,0.26064,2.00665,5.47217,2.27913,0.00079705,0.00079705,0.00079705
43,228.889,1.40128,3.161,1.66387,0.48747,0.56753,0.51722,0.22846,2.09441,5.14923,2.31727,0.0007921,0.0007921,0.0007921
44,233.929,1.36324,3.12529,1.63251,0.49245,0.49201,0.487,0.23098,2.13772,5.75633,2.40221,0.00078715,0.00078715,0.00078715
45,238.973,1.35718,3.02749,1.63779,0.62256,0.66619,0.68917,0.34254,1.85235,4.45034,2.18836,0.0007822,0.0007822,0.0007822
46,243.942,1.36784,3.05134,1.6449,0.61689,0.65978,0.66279,0.31844,1.89927,4.52313,2.21227,0.00077725,0.00077725,0.00077725
47,248.997,1.3572,3.03213,1.61661,0.65091,0.66393,0.69467,0.33971,1.82718,4.3535,2.15607,0.0007723,0.0007723,0.0007723
48,254.193,1.37063,3.05388,1.62681,0.61679,0.64176,0.65115,0.30649,1.89085,4.59141,2.18519,0.00076735,0.00076735,0.00076735
49,259.249,1.33934,2.97327,1.60756,0.60466,0.67751,0.68557,0.33823,1.81885,4.41504,2.13741,0.0007624,0.0007624,0.0007624
50,264.28,1.32326,2.92771,1.60398,0.66459,0.64643,0.68211,0.32556,1.86469,4.43082,2.2083,0.00075745,0.00075745,0.00075745
51,269.361,1.35416,3.01192,1.62775,0.55308,0.60167,0.61401,0.29074,2.02501,4.70653,2.27085,0.0007525,0.0007525,0.0007525
52,274.392,1.30923,2.88236,1.58865,0.51595,0.56762,0.55734,0.26442,2.08848,5.27716,2.30457,0.00074755,0.00074755,0.00074755
53,279.468,1.30664,2.87959,1.58749,0.6065,0.63748,0.65472,0.32064,1.85475,4.35921,2.20074,0.0007426,0.0007426,0.0007426
54,284.505,1.29145,2.81368,1.58581,0.675,0.56666,0.6281,0.29145,1.95558,4.87468,2.24541,0.00073765,0.00073765,0.00073765
55,289.57,1.31899,2.87521,1.59481,0.53452,0.56026,0.57667,0.27476,2.06146,4.93012,2.31256,0.0007327,0.0007327,0.0007327
56,294.61,1.28626,2.82478,1.58336,0.55822,0.62911,0.61963,0.302,1.99489,4.6394,2.28367,0.00072775,0.00072775,0.00072775
57,299.686,1.30971,2.78075,1.57705,0.61885,0.6007,0.6277,0.3065,1.98731,4.65694,2.26737,0.0007228,0.0007228,0.0007228
58,304.728,1.27025,2.72587,1.56548,0.59994,0.64725,0.63145,0.29615,1.9029,4.49756,2.19444,0.00071785,0.00071785,0.00071785
59,309.759,1.30729,2.76316,1.59091,0.56939,0.62068,0.63002,0.31243,1.90016,4.53154,2.21347,0.0007129,0.0007129,0.0007129
60,314.793,1.28451,2.75147,1.57536,0.63209,0.66467,0.68482,0.34619,1.82474,4.3416,2.18462,0.00070795,0.00070795,0.00070795
61,320.136,1.26299,2.66272,1.54843,0.62811,0.62292,0.63765,0.3048,1.88578,4.41586,2.21122,0.000703,0.000703,0.000703
62,325.197,1.28111,2.73654,1.56211,0.50703,0.50066,0.47624,0.20971,2.17914,5.85747,2.43058,0.00069805,0.00069805,0.00069805
63,330.256,1.27811,2.68152,1.556,0.5832,0.62652,0.63661,0.29728,1.9109,4.46664,2.22121,0.0006931,0.0006931,0.0006931
64,335.298,1.25701,2.61717,1.54564,0.62476,0.62163,0.6626,0.33039,1.834,4.31921,2.20295,0.00068815,0.00068815,0.00068815
65,340.386,1.26617,2.62733,1.55169,0.54535,0.58804,0.58285,0.26881,2.02361,5.31184,2.3349,0.0006832,0.0006832,0.0006832
66,345.437,1.24619,2.59956,1.54151,0.64518,0.64103,0.69615,0.3333,1.88507,4.23505,2.20267,0.00067825,0.00067825,0.00067825
67,350.517,1.25035,2.63599,1.54231,0.5985,0.67012,0.64191,0.29507,1.89877,4.51155,2.23006,0.0006733,0.0006733,0.0006733
68,355.561,1.25476,2.6097,1.54625,0.62112,0.67093,0.67374,0.33787,1.88494,4.44436,2.21037,0.00066835,0.00066835,0.00066835
69,360.64,1.24724,2.58677,1.53574,0.61687,0.66387,0.66935,0.31965,1.89602,4.36908,2.25236,0.0006634,0.0006634,0.0006634
70,365.97,1.23805,2.56701,1.53482,0.61597,0.55379,0.59571,0.2889,1.93729,4.66395,2.24382,0.00065845,0.00065845,0.00065845
71,371.026,1.20174,2.42754,1.50383,0.5799,0.59581,0.60169,0.30524,1.97604,4.58558,2.33201,0.0006535,0.0006535,0.0006535
72,376.045,1.22748,2.53735,1.52763,0.61281,0.61461,0.63127,0.31921,1.92571,4.51646,2.24823,0.00064855,0.00064855,0.00064855
73,381.114,1.23895,2.51299,1.52756,0.64846,0.62574,0.67784,0.33411,1.83752,4.14504,2.1693,0.0006436,0.0006436,0.0006436
74,386.14,1.21902,2.4934,1.5098,0.63621,0.65733,0.67759,0.3392,1.91454,4.25652,2.26818,0.00063865,0.00063865,0.00063865
75,391.21,1.20779,2.41627,1.50882,0.62779,0.6491,0.68943,0.34209,1.84968,4.1377,2.16293,0.0006337,0.0006337,0.0006337
76,396.224,1.19513,2.40082,1.49484,0.63973,0.64228,0.66689,0.32128,1.9797,4.47592,2.32072,0.00062875,0.00062875,0.00062875
77,401.292,1.19997,2.43773,1.50852,0.60392,0.6285,0.63245,0.29483,2.04593,4.96844,2.33447,0.0006238,0.0006238,0.0006238
78,406.313,1.21407,2.46098,1.50905,0.59858,0.65527,0.64632,0.30942,1.96638,4.58543,2.32085,0.00061885,0.00061885,0.00061885
79,411.366,1.1883,2.39354,1.49367,0.59954,0.60568,0.59945,0.28913,1.99767,4.87511,2.30201,0.0006139,0.0006139,0.0006139
80,416.386,1.1859,2.38055,1.4959,0.61861,0.61803,0.64321,0.3253,1.94703,4.40426,2.27989,0.00060895,0.00060895,0.00060895
81,421.461,1.17433,2.30857,1.47079,0.55374,0.65836,0.60809,0.29136,2.04953,4.6421,2.35791,0.000604,0.000604,0.000604
82,426.481,1.16868,2.31677,1.47957,0.71365,0.64016,0.69765,0.35157,1.87973,4.19616,2.24938,0.00059905,0.00059905,0.00059905
83,431.798,1.15501,2.26943,1.48126,0.69076,0.61678,0.66862,0.31981,1.95065,4.51647,2.26637,0.0005941,0.0005941,0.0005941
84,436.83,1.17616,2.34938,1.49291,0.6953,0.65313,0.7025,0.33139,1.90602,4.19447,2.25904,0.00058915,0.00058915,0.00058915
85,441.886,1.17957,2.29297,1.49934,0.64914,0.66505,0.66828,0.321,1.94009,4.32621,2.29915,0.0005842,0.0005842,0.0005842
86,446.907,1.17215,2.2879,1.4825,0.57655,0.60458,0.60043,0.26423,2.11047,4.73292,2.41648,0.00057925,0.00057925,0.00057925
87,451.99,1.14389,2.18644,1.45706,0.64339,0.62949,0.63554,0.30937,2.00498,4.60679,2.36,0.0005743,0.0005743,0.0005743
88,457.022,1.14473,2.22812,1.46818,0.67562,0.66994,0.70421,0.34515,1.90055,4.15661,2.25389,0.00056935,0.00056935,0.00056935
89,462.089,1.13379,2.25903,1.44942,0.6498,0.63715,0.67641,0.34474,1.99789,4.54349,2.34092,0.0005644,0.0005644,0.0005644
90,467.121,1.12584,2.2065,1.4473,0.62761,0.65707,0.6668,0.3367,1.97294,4.5172,2.3512,0.00055945,0.00055945,0.00055945
91,472.185,1.12354,2.13872,1.44014,0.61723,0.63459,0.63934,0.30414,2.02005,4.47654,2.30802,0.0005545,0.0005545,0.0005545
92,477.528,1.11909,2.17154,1.43646,0.70685,0.61788,0.68259,0.31961,1.95909,4.23189,2.31339,0.00054955,0.00054955,0.00054955
93,482.571,1.1149,2.1355,1.43831,0.68052,0.67065,0.69127,0.33949,1.96844,4.32748,2.35141,0.0005446,0.0005446,0.0005446
94,487.596,1.10903,2.10894,1.43921,0.71744,0.67039,0.71897,0.36326,1.89495,4.10475,2.27509,0.00053965,0.00053965,0.00053965
95,492.924,1.10395,2.11165,1.42804,0.67914,0.62577,0.66103,0.3293,1.93622,4.37434,2.23516,0.0005347,0.0005347,0.0005347
96,497.916,1.10568,2.10283,1.42778,0.73364,0.63582,0.71519,0.36362,1.91902,4.22322,2.26141,0.00052975,0.00052975,0.00052975
97,503.235,1.11084,2.10389,1.42422,0.62508,0.59275,0.63553,0.31827,2.04867,4.67126,2.37725,0.0005248,0.0005248,0.0005248
98,508.273,1.10971,2.11709,1.43604,0.71973,0.63691,0.69451,0.34928,1.91712,4.26531,2.27013,0.00051985,0.00051985,0.00051985
99,513.335,1.15539,2.17249,1.46553,0.66889,0.65417,0.67942,0.32717,1.98158,4.28711,2.35729,0.0005149,0.0005149,0.0005149
100,518.419,1.12442,2.11894,1.43898,0.64592,0.64504,0.66988,0.33244,1.95991,4.47325,2.34504,0.00050995,0.00050995,0.00050995
101,523.508,1.09333,2.10257,1.41971,0.67222,0.64944,0.68107,0.33305,1.87967,4.32028,2.19725,0.000505,0.000505,0.000505
102,528.541,1.09886,2.09166,1.42428,0.67786,0.61004,0.66956,0.328,1.92753,4.23902,2.27414,0.00050005,0.00050005,0.00050005
103,533.602,1.10493,2.13491,1.43921,0.6575,0.61339,0.63785,0.31142,2.10083,4.66647,2.49701,0.0004951,0.0004951,0.0004951
104,538.643,1.08567,2.07981,1.4161,0.66884,0.63351,0.67934,0.32909,2.03903,4.85387,2.36427,0.00049015,0.00049015,0.00049015
105,543.711,1.0953,2.08715,1.41791,0.69949,0.61537,0.68359,0.33981,1.96667,4.29877,2.34584,0.0004852,0.0004852,0.0004852
106,548.759,1.05032,1.9793,1.39219,0.70891,0.62493,0.68649,0.34913,1.95614,4.39519,2.32336,0.00048025,0.00048025,0.00048025
107,553.818,1.06568,2.02862,1.3969,0.59216,0.60902,0.61929,0.29193,2.09415,5.00773,2.45326,0.0004753,0.0004753,0.0004753
108,558.829,1.09173,2.09442,1.42136,0.64005,0.59482,0.62527,0.30367,2.09244,4.59306,2.47809,0.00047035,0.00047035,0.00047035
109,563.865,1.07457,2.03127,1.40436,0.6678,0.65538,0.68312,0.34632,1.97651,4.17279,2.37095,0.0004654,0.0004654,0.0004654
110,568.862,1.04964,1.97812,1.38214,0.68404,0.63146,0.68555,0.3462,1.98157,4.38123,2.35918,0.00046045,0.00046045,0.00046045
